X,Baseline,Min,Max
1.767818629741668701e-02,-6.666360378265380859e+00,-6.817997932434082031e+00,-1.262093782424926758e+00
1.900209486484527588e-02,-6.464347839355468750e+00,-6.610343933105468750e+00,-1.193656682968139648e+00
2.040140330791473389e-02,-6.266762256622314453e+00,-6.407320976257324219e+00,-1.121759653091430664e+00
2.187915891408920288e-02,-6.073879241943359375e+00,-6.209201812744140625e+00,-1.046120285987854004e+00
2.343850024044513702e-02,-5.885903835296630859e+00,-6.016193389892578125e+00,-9.668551683425903320e-01
2.508267015218734741e-02,-5.702978610992431641e+00,-5.828438758850097656e+00,-8.848710060119628906e-01
2.681501396000385284e-02,-5.525195121765136719e+00,-5.646027088165283203e+00,-8.022544384002685547e-01
2.863898128271102905e-02,-5.352600574493408203e+00,-5.469001770019531250e+00,-7.224473357200622559e-01
3.055812604725360870e-02,-5.185203075408935547e+00,-5.297367095947265625e+00,-6.498991847038269043e-01
3.257611393928527832e-02,-5.022976875305175781e+00,-5.131092071533203125e+00,-5.890968441963195801e-01
3.469670936465263367e-02,-4.865870475769042969e+00,-4.970118522644042969e+00,-5.432960391044616699e-01
3.692378848791122437e-02,-4.713808059692382812e+00,-4.814365386962890625e+00,-5.134856700897216797e-01
3.926132991909980774e-02,-4.566695690155029297e+00,-4.663732051849365234e+00,-4.979954957962036133e-01
4.171341657638549805e-02,-4.424424171447753906e+00,-4.518103599548339844e+00,-4.931038320064544678e-01
4.428422823548316956e-02,-4.286873340606689453e+00,-4.377352237701416016e+00,-4.943454563617706299e-01
4.697804152965545654e-02,-4.153913021087646484e+00,-4.241342544555664062e+00,-4.981425404548645020e-01
4.979922994971275330e-02,-4.025407314300537109e+00,-4.109931468963623047e+00,-5.023602843284606934e-01
5.275225266814231873e-02,-3.901216030120849609e+00,-3.982972145080566406e+00,-5.060059428215026855e-01
5.584164708852767944e-02,-3.781195163726806641e+00,-3.860314369201660156e+00,-5.087656378746032715e-01
5.907202512025833130e-02,-3.665199518203735352e+00,-3.741807222366333008e+00,-5.106863379478454590e-01
6.244806572794914246e-02,-3.553084373474121094e+00,-3.627299308776855469e+00,-5.119212865829467773e-01
6.597451120615005493e-02,-3.444704771041870117e+00,-3.516640663146972656e+00,-5.126793384552001953e-01
6.965613365173339844e-02,-3.339917421340942383e+00,-3.409682989120483398e+00,-5.130720734596252441e-01
7.349774986505508423e-02,-3.238578081130981445e+00,-3.306280612945556641e+00,-5.131872296333312988e-01
7.750421017408370972e-02,-3.140551328659057617e+00,-3.206290483474731445e+00,-5.131211876869201660e-01
8.168035000562667847e-02,-3.045709371566772461e+00,-3.109573841094970703e+00,-5.129272341728210449e-01
8.603100478649139404e-02,-2.953921794891357422e+00,-3.015995502471923828e+00,-5.126334428787231445e-01
9.056098759174346924e-02,-2.865061521530151367e+00,-2.925424098968505859e+00,-5.122938156127929688e-01
9.527507424354553223e-02,-2.779005289077758789e+00,-2.837733268737792969e+00,-5.119163393974304199e-01
1.001779511570930481e-01,-2.695632457733154297e+00,-2.752800703048706055e+00,-5.115096569061279297e-01
1.052742525935173035e-01,-2.614823579788208008e+00,-2.670508861541748047e+00,-5.110927224159240723e-01
1.105684861540794373e-01,-2.536470651626586914e+00,-2.590744733810424805e+00,-5.106701850891113281e-01
1.160650178790092468e-01,-2.460475444793701172e+00,-2.513400077819824219e+00,-5.102323293685913086e-01
1.217680871486663818e-01,-2.386737585067749023e+00,-2.438371181488037109e+00,-5.097849369049072266e-01
1.276817172765731812e-01,-2.315158843994140625e+00,-2.365559577941894531e+00,-5.093485713005065918e-01
1.338097155094146729e-01,-2.245640039443969727e+00,-2.294870376586914062e+00,-5.089288949966430664e-01
1.401557028293609619e-01,-2.178094148635864258e+00,-2.226214170455932617e+00,-5.085012912750244141e-01
1.467229425907135010e-01,-2.112445831298828125e+00,-2.159505367279052734e+00,-5.080881118774414062e-01
1.535144597291946411e-01,-2.048613548278808594e+00,-2.094663381576538086e+00,-5.076925754547119141e-01
1.605329364538192749e-01,-1.986516356468200684e+00,-2.031611442565917969e+00,-5.073047280311584473e-01
1.677806377410888672e-01,-1.926083207130432129e+00,-1.970276832580566406e+00,-5.069314241409301758e-01
1.752594709396362305e-01,-1.867253661155700684e+00,-1.910591125488281250e+00,-5.065756440162658691e-01
1.829709261655807495e-01,-1.809961676597595215e+00,-1.852490067481994629e+00,-5.062289237976074219e-01
1.909159719944000244e-01,-1.754142999649047852e+00,-1.795912623405456543e+00,-5.058807730674743652e-01
1.990951001644134521e-01,-1.699744462966918945e+00,-1.740802049636840820e+00,-5.055321455001831055e-01
2.075083106756210327e-01,-1.646718502044677734e+00,-1.687104940414428711e+00,-5.051827430725097656e-01
2.161549925804138184e-01,-1.595008850097656250e+00,-1.634771227836608887e+00,-5.048338174819946289e-01
2.250339835882186890e-01,-1.544571399688720703e+00,-1.583754420280456543e+00,-5.044856071472167969e-01
2.341434657573699951e-01,-1.495369076728820801e+00,-1.534010887145996094e+00,-5.041404962539672852e-01
2.434810250997543335e-01,-1.447355508804321289e+00,-1.485499978065490723e+00,-5.038033127784729004e-01
2.530435621738433838e-01,-1.400496602058410645e+00,-1.438184142112731934e+00,-5.034525990486145020e-01
2.628273069858551025e-01,-1.354759216308593750e+00,-1.392028212547302246e+00,-5.030975937843322754e-01
2.728277742862701416e-01,-1.310107946395874023e+00,-1.346999883651733398e+00,-5.027434229850769043e-01
2.830398082733154297e-01,-1.266518473625183105e+00,-1.303068757057189941e+00,-5.023903846740722656e-01
