X,Baseline,Min,Max
-6.182202804401614599e-02,-8.974130749702453613e-01,-1.038690090179443359e+00,-4.304144680500030518e-01
-6.041249476324285494e-02,-9.086328148841857910e-01,-1.047829151153564453e+00,-4.479077756404876709e-01
-5.899339148069628058e-02,-9.194400310516357422e-01,-1.056507587432861328e+00,-4.645340144634246826e-01
-5.756524397586054026e-02,-9.294966459274291992e-01,-1.064697146415710449e+00,-4.802159667015075684e-01
-5.612922608200256874e-02,-9.392694830894470215e-01,-1.072679281234741211e+00,-4.952955245971679688e-01
-5.469028990821712954e-02,-9.489972591400146484e-01,-1.080766201019287109e+00,-5.100184679031372070e-01
-5.324301055145472250e-02,-9.586507081985473633e-01,-1.088895082473754883e+00,-5.243923068046569824e-01
-5.180039799709027643e-02,-9.686320424079895020e-01,-1.097436547279357910e+00,-5.387488007545471191e-01
-5.034924662087104236e-02,-9.782328605651855469e-01,-1.105665326118469238e+00,-5.524640679359436035e-01
-4.890638544209936767e-02,-9.879027009010314941e-01,-1.114092230796813965e+00,-5.660434961318969727e-01
-4.745871888339128070e-02,-9.972531199455261230e-01,-1.122215390205383301e+00,-5.790709257125854492e-01
-4.601853143594979850e-02,-1.006767630577087402e+00,-1.130664110183715820e+00,-5.920930504798889160e-01
-4.458007620773899587e-02,-1.016132235527038574e+00,-1.138897657394409180e+00,-6.046259999275207520e-01
-4.314614512857774947e-02,-1.025193929672241211e+00,-1.147019505500793457e+00,-6.168677210807800293e-01
-4.172215494989565954e-02,-1.034227371215820312e+00,-1.155035614967346191e+00,-6.287845969200134277e-01
-4.029807510339457333e-02,-1.042969465255737305e+00,-1.162900924682617188e+00,-6.404218673706054688e-01
-3.889359582696493012e-02,-1.052093863487243652e+00,-1.171146273612976074e+00,-6.520740985870361328e-01
-3.748394027189300842e-02,-1.060700535774230957e+00,-1.178958296775817871e+00,-6.631846427917480469e-01
-3.610188202602336582e-02,-1.069562435150146484e+00,-1.187017917633056641e+00,-6.743848919868469238e-01
-3.471654682895025656e-02,-1.077830195426940918e+00,-1.194591760635375977e+00,-6.848884820938110352e-01
-3.335385683198465595e-02,-1.086306691169738770e+00,-1.202292919158935547e+00,-6.955075860023498535e-01
-3.199676292208665507e-02,-1.094361901283264160e+00,-1.209760427474975586e+00,-7.055393457412719727e-01
-3.065578476474895356e-02,-1.102368593215942383e+00,-1.217055439949035645e+00,-7.155026793479919434e-01
-2.933037416353267285e-02,-1.110133290290832520e+00,-1.224352359771728516e+00,-7.250806689262390137e-01
-2.801322930490422747e-02,-1.117589235305786133e+00,-1.231133937835693359e+00,-7.343820929527282715e-01
-2.672252014964101446e-02,-1.125049352645874023e+00,-1.238183498382568359e+00,-7.435228824615478516e-01
-2.543114663735521197e-02,-1.131895542144775391e+00,-1.244516491889953613e+00,-7.521239519119262695e-01
-2.417770668831643530e-02,-1.138946175575256348e+00,-1.251045465469360352e+00,-7.606840133666992188e-01
-2.292123229876649737e-02,-1.145182251930236816e+00,-1.256942391395568848e+00,-7.684921622276306152e-01
-2.169980376111078565e-02,-1.151514410972595215e+00,-1.262750506401062012e+00,-7.763609290122985840e-01
-2.048304610166299181e-02,-1.157288789749145508e+00,-1.268164515495300293e+00,-7.835342288017272949e-01
-1.929210869827729588e-02,-1.162788152694702148e+00,-1.273255705833435059e+00,-7.906410694122314453e-01
-1.811661657671437969e-02,-1.168163776397705078e+00,-1.277726173400878906e+00,-7.970685958862304688e-01
-1.695688051748327901e-02,-1.172228336334228516e+00,-1.282067656517028809e+00,-8.027340173721313477e-01
-1.582375847830292531e-02,-1.175446629524230957e+00,-1.285003066062927246e+00,-8.076126575469970703e-01
-1.469623048828519289e-02,-1.178060293197631836e+00,-1.286771178245544434e+00,-8.115284442901611328e-01
-1.360691015973393599e-02,-1.179465174674987793e+00,-1.287539005279541016e+00,-8.148626089096069336e-01
-1.251593301443615358e-02,-1.180209159851074219e+00,-1.287683606147766113e+00,-8.173497915267944336e-01
-1.146901741265207199e-02,-1.181072354316711426e+00,-1.288023114204406738e+00,-8.197263479232788086e-01
-1.042428236919367562e-02,-1.182133913040161133e+00,-1.288673520088195801e+00,-8.222538232803344727e-01
-9.413384699977982162e-03,-1.183997988700866699e+00,-1.290194392204284668e+00,-8.253813982009887695e-01
-8.415795059740152281e-03,-1.186397910118103027e+00,-1.292234063148498535e+00,-8.289265036582946777e-01
-7.441107905113201158e-03,-1.189307689666748047e+00,-1.294771075248718262e+00,-8.328620195388793945e-01
-6.490336584347082202e-03,-1.192323565483093262e+00,-1.297517061233520508e+00,-8.368897438049316406e-01
-5.551733084724038217e-03,-1.195574045181274414e+00,-1.300455927848815918e+00,-8.409817218780517578e-01
-4.647439753298425111e-03,-1.199105381965637207e+00,-1.303843140602111816e+00,-8.452481627464294434e-01
-3.744946656182114586e-03,-1.203077077865600586e+00,-1.307678699493408203e+00,-8.499052524566650391e-01
-2.886538538486743601e-03,-1.207276344299316406e+00,-1.311732888221740723e+00,-8.546640276908874512e-01
-2.028022157089454710e-03,-1.211562752723693848e+00,-1.315941214561462402e+00,-8.594579100608825684e-01
-1.206072541544747721e-03,-1.215815901756286621e+00,-1.320145130157470703e+00,-8.641653060913085938e-01
