X,Baseline,Min,Max
8.345153060470681394e-01,7.496807575225830078e-01,5.886963009834289551e-01,7.551581263542175293e-01
8.326611059760630207e-01,7.440326809883117676e-01,5.789672136306762695e-01,7.507628798484802246e-01
8.308067754791392812e-01,7.377842068672180176e-01,5.689371824264526367e-01,7.458412647247314453e-01
8.288083895551818792e-01,7.310378551483154297e-01,5.582649707794189453e-01,7.404201030731201172e-01
8.268069386221386097e-01,7.236940264701843262e-01,5.475263595581054688e-01,7.361247539520263672e-01
8.247172545551992862e-01,7.163355946540832520e-01,5.368820428848266602e-01,7.325510382652282715e-01
8.225688136119549965e-01,7.084050178527832031e-01,5.261025428771972656e-01,7.285489439964294434e-01
8.203884835316263002e-01,7.005610466003417969e-01,5.159953236579895020e-01,7.245879173278808594e-01
8.180957263095112175e-01,6.924133300781250000e-01,5.062389969825744629e-01,7.203806042671203613e-01
8.158028386614776251e-01,6.841554641723632812e-01,4.972562789916992188e-01,7.161166667938232422e-01
8.133935458811419883e-01,6.759348511695861816e-01,4.894498586654663086e-01,7.119666934013366699e-01
8.109620154816942206e-01,6.673346161842346191e-01,4.824315905570983887e-01,7.075906395912170410e-01
8.084706847985932976e-01,6.593703627586364746e-01,4.769954681396484375e-01,7.036806344985961914e-01
8.059092501842740619e-01,6.511206626892089844e-01,4.726365804672241211e-01,6.995556354522705078e-01
8.033382944779009494e-01,6.440910696983337402e-01,4.681869149208068848e-01,6.959475874900817871e-01
8.006588244072978533e-01,6.375634074211120605e-01,4.670304059982299805e-01,6.923336386680603027e-01
7.979792239107761365e-01,6.333842873573303223e-01,4.688239395618438721e-01,6.890427470207214355e-01
7.952276935201765262e-01,6.283522844314575195e-01,4.721190035343170166e-01,6.858842968940734863e-01
7.924451869739222998e-01,6.254042387008666992e-01,4.785501360893249512e-01,6.829152703285217285e-01
7.896354866236513503e-01,6.286773681640625000e-01,4.864467382431030273e-01,6.801671981811523438e-01
7.867680728044238458e-01,6.328849792480468750e-01,4.952436983585357666e-01,6.779671311378479004e-01
7.839005937722370865e-01,6.399978399276733398e-01,5.034415721893310547e-01,6.766759157180786133e-01
7.809725971138451461e-01,6.477809548377990723e-01,5.107864141464233398e-01,6.754057407379150391e-01
7.780406876778968028e-01,6.550959348678588867e-01,5.154554843902587891e-01,6.747879981994628906e-01
7.750853667895694077e-01,6.617370247840881348e-01,5.193783640861511230e-01,6.745110750198364258e-01
7.721116558467272517e-01,6.665494441986083984e-01,5.220088958740234375e-01,6.742932200431823730e-01
